RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C1-077748,2021/08/20 00:00:00+00,1429,W,M,18,E,G,,,,,,,,,X,,X,,N,,Y,Y,,174
C1-076608,2021/08/17 00:00:00+00,306,H,M,27,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,175
C1-076549,2021/08/16 00:00:00+00,2359,B,M,43,D,G,,,,X,,,,,X,,,,N,,Y,Y,,176
C1-076394,2021/08/16 00:00:00+00,1325,W,F,43,E,C,,,,X,,,,,,,,,Y,N,N,,,177
C1-075967,2021/08/15 00:00:00+00,236,W,M,30,E,D,,,X,X,,,,,X,,,,N,,Y,Y,,178
C1-075622,2021/08/14 00:00:00+00,335,B,M,47,D,G,,,,,,,,,X,,X,,N,,Y,Y,,179
C1-074832,2021/08/11 00:00:00+00,2049,W,M,45,D,C,,,,X,,,,,,,,,N,,Y,Y,,180
C1-073003,2021/08/06 00:00:00+00,1200,W,M,34,E,D,,,,X,,,,,X,,,,Y,N,Y,N,,181
C1-071436,2021/08/01 00:00:00+00,2243,H,M,28,E,C,,,,X,,,,,,,,,Y,N,Y,Y,,182
C1-070766,2021/07/30 00:00:00+00,2335,W,M,28,D,C,,,,X,,,,,X,,,,N,N,Y,N,,183
C0-046428,2020/05/28 00:00:00+00,309,B,M,21,D,C,,,,X,,,,,X,,,,N,,Y,N,,184
C0-091015,2020/09/29 00:00:00+00,2339,,F,0,,Z,,,,,,,,X,,,,,N,,Y,,,185
C1-068448,2021/07/24 00:00:00+00,250,B,M,27,D,C,,,,X,,,,,X,,,,N,,N,N,,186
C1-068448,2021/07/24 00:00:00+00,250,B,M,27,D,C,,,,X,,,,,X,,,,N,,N,N,,187
C1-068448,2021/07/24 00:00:00+00,250,B,M,27,D,C,,,,X,,,,,X,,,,N,,N,N,,188
C1-067022,2021/07/20 00:00:00+00,937,,,0,,Z,,,,,,,,X,,,,,,,,,,189
C1-066884,2021/07/19 00:00:00+00,2054,H,F,39,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,,190
C1-066822,2021/07/19 00:00:00+00,1715,W,M,35,D,D,,,,X,,,,,,,,,N,,N,N,,191
C1-065318,2021/07/15 00:00:00+00,440,B,M,30,E,G,,,,X,,,,,X,,X,,Y,Y,Y,Y,,192
C1-064921,2021/07/14 00:00:00+00,27,W,M,24,D,C,,,,X,,,,,X,,,,N,,Y,N,,193
C1-064576,2021/07/13 00:00:00+00,559,W,F,17,D,D,,,,X,,,,,X,,,,N,,Y,Y,,194
C0-090512,2020/10/02 00:00:00+00,1748,H,M,32,D,D,,,,X,,,,,X,,,,Y,N,Y,,,195
C0-045726,2020/05/24 00:00:00+00,521,B,M,23,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,196
C1-064576,2021/07/13 00:00:00+00,559,W,F,17,D,D,,,,X,,,,,X,,,,N,,Y,Y,,197
C0-045467,2020/05/23 00:00:00+00,1952,W,F,40,C,D,,,,X,,,,,X,,,,N,N,N,Y,,198
C0-090080,2020/09/27 00:00:00+00,204,H,F,22,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,,199
C1-064310,2021/07/12 00:00:00+00,1333,W,F,28,D,C,,,,X,,,,,X,,,,Y,N,N,Y,,200
C0-044803,2020/05/21 00:00:00+00,2325,W,M,69,D,C,,,,X,,,,,X,,,,N,,Y,Y,,201
C0-089768,2020/09/26 00:00:00+00,324,B,M,23,D,G,,,,X,,,,,X,,X,,N,,Y,Y,,202
C1-064247,2021/07/12 00:00:00+00,0,H,M,23,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,203
C0-044406,2020/05/20 00:00:00+00,2014,W,M,26,E,C,,,,X,,,,,X,,,,Y,Y,Y,Y,,204
C0-088170,2020/09/21 00:00:00+00,1545,W,M,54,E,G,,,,,,,,,X,,X,,Y,Y,Y,Y,,205
C1-062411,2021/07/07 00:00:00+00,20,B,F,26,D,C,,,,X,,,,,X,,,,N,N,Y,N,,206
C0-044406,2020/05/20 00:00:00+00,2014,W,M,26,E,G,,,,X,,,,,X,,X,,Y,Y,Y,Y,,207
C0-087420,2020/11/17 00:00:00+00,1747,B,M,25,D,G,,,,X,,,,,X,,X,,N,,Y,Y,,208
C1-061462,2021/07/04 00:00:00+00,1909,H,M,23,E,C,,,,X,,,,,X,,,,N,,Y,Y,,209
C0-044028,2020/05/19 00:00:00+00,1952,W,M,57,E,D,,,,X,,,,,X,,,,N,,Y,N,,210
C0-085404,2020/09/13 00:00:00+00,1430,W,M,12,D,C,,,,X,,,,,X,,,,Y,Y,Y,,,211
C1-061255,2021/07/04 00:00:00+00,156,B,M,37,E,D,,,,,,,X,,,,,,N,,Y,N,,212
C0-043582,2020/05/18 00:00:00+00,1450,W,M,25,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,213
C0-085404,2020/09/13 00:00:00+00,1430,W,M,12,E,C,,,,X,,,,,X,,,,Y,N,Y,,,214
C1-061122,2021/07/03 00:00:00+00,2033,W,F,31,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,215
