Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B16-22477,2,Weapons,Telephone,06/13/2016 04:55:00 AM,false,false,true,false,true,,,false,false,false,Normal,true,false,Involved,false,false,,true,36,true,,,,,,,
B16-23317,5,Welfare Check,Telephone,06/19/2016 04:32:00 AM,true,false,true,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,37,true,,,,,,,
B16-23325,4,Warrant Service,Telephone,06/19/2016 11:24:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,26,true,,,,,,,
B16-23403,1,Theft,Telephone,06/19/2016 03:55:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,false,,true,27,true,,,,,,,
B16-23442,5,Warrant Service,Officer Report,06/19/2016 10:31:00 PM,true,false,false,false,false,,,false,false,true,Normal,false,false,Arrestee,false,false,,true,27,true,,,,,,,
B16-23461,5,Fight,911 Line,06/20/2016 12:56:00 AM,true,false,false,false,false,,,false,false,false,Unknown,false,false,Juvenile Referral,true,false,,true,15,,,true,,,,,
B16-23871,4,ATL,Telephone,06/22/2016 08:24:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,true,,50,true,,,,,,,
B16-23909,4,Disturbance,911 Line,06/23/2016 03:02:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,true,false,Mentioned,false,false,,true,39,true,,,,,,,
B16-24278,4,Theft,Telephone,06/22/2016 08:02:00 PM,true,false,false,false,true,,,false,false,true,Intoxicated,false,false,Arrestee/Suspect,false,false,,true,27,true,,,,,,,
B16-24607,,Assault,Telephone,06/30/2016 03:30:00 PM,true,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,true,false,true,,17,true,,,,,,,
B16-24607,,Assault,Telephone,06/30/2016 03:30:00 PM,false,false,false,false,false,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,19,,,true,,,,,
B16-24881,2,Suspicious Activity,Telephone,06/29/2016 10:36:00 PM,false,false,false,false,true,,,false,false,true,Normal,false,false,Arrestee,false,false,,true,30,true,,,,,,,
B16-24951,3,Drugs,Telephone,06/30/2016 10:34:00 AM,true,false,false,false,false,,,false,false,true,Normal,false,false,Unknown,false,false,true,,17,,,true,,,,,
B16-25013,5,Disturbance,911 Line,06/30/2016 06:52:00 PM,false,false,false,false,true,,,false,false,false,Intoxicated,true,false,Suspect,false,false,,true,23,true,,,,,,,
B16-25322,1,Assault,Telephone,07/05/2016 06:35:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Arrestee,false,false,,true,19,,,true,,,,,
B16-25577,4,Service,Telephone,07/04/2016 12:05:00 AM,true,true,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,true,,true,19,true,,,,,,,
B16-25600,1,Suspicious Activity,Officer Report,07/05/2016 05:05:00 AM,true,false,false,false,false,,,false,false,true,Normal,false,false,Arrestee,true,false,,true,18,true,,,,,,,
B16-25830,2,Drugs,Officer Report,07/08/2016 11:50:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Mentioned,false,false,true,,24,true,,,,,,,
